"call_number","creator","date","description","headerImage","identifier","subject","title"
"srlf_ucla:LAGE-1062877","","","Publisher's pink wrappers, printed in red and black; publisher's advertisement on lower wrapper","","dameduckslecture00newyiala","Ducks,Conduct of life","Dame Duck's lecture"
"srlf_ucla:LAGE-1062888","","1834-00-00T00:00:00Z","Moon, M. John Harris' books","","damepartletsfarm00londiala","Conduct of life,Children's stories,Charity","Dame Partlet's farm : an account of the riches she obtained by industry, the good life she led, and alas! good reader, her death and epitaph"
"srlf_ucla:LAGE-1062891","","","Gray marbled wrappers","","dametalkativesol00londiala","","Dame Talkative's old sayings, new revived for the amusement of young people"
"srlf_ucla:LAGE-1062897","","","Publisher's printed cream wrappers; chromoxylographed illustrations, with additional hand-coloring, on upper and lower outer wrappers","","dametrothercat00londiala","Cats","Dame Trot and her cat"
"srlf_ucla:LAGE-1062896","","","Publisher's yellow wrappers. Upper wrapper illustrated in green, red, and black","","dametrothercat00newyiala","Cats","Dame trot and her cat"
"srlf_ucla:LAGE-1062898","","","Outer wrappers tinted light green","","dametrotherdroll00deveiala","Cats","Dame Trot and her droll cat"
"srlf_ucla:LAGE-945506","Semple, Elizabeth, fl. 1804-1816","","Moon, M. John Harris's books","","dametruelovestal00sempiala","Conduct of life","Dame Truelove's tales"
"srlf_ucla:lage-1062913","Sharpe, Richard Scrafton, d. 1852,Pearson, Mrs","","Red-brown cloth over boards. Ex libris May & George Shiers. Inscription dated 1875 on verso of t.p","","damewigginsherse00shariala","Cats","Dame Wiggins of Lee, and her seven wonderful cats : a humorous tale"
"srlf_ucla:LAGE-945508","Pearson, Mrs,Sharpe, Richard Scrafton, d. 1852,Ruskin, John, 1819-1900,Greenaway, Kate, 1846-1901,Hooper, William Harcourt, 1834-1912","1885-00-00T00:00:00Z","Osborne Coll.","","damewigginsoflee00peariala","Cats","Dame Wiggins of Lee, and her seven wonderful cats : a humorous tale"
"srlf_ucla:LAGE-1062915","Sharpe, Richard Scrafton, d. 1852,Pearson, Mrs","1824-00-00T00:00:00Z","Publisher's buff printed stiff wrappers; publisher's advertisement on lower wrappers","","damewigginsoflee00shariala","Cats","Dame Wiggins of Lee, and her seven wonderful cats : a humorous tale"
"","Barclay, Vera C","1920-00-00T00:00:00Z","","","dannyagainfurthe00barc","Children's stories, English","Danny again; further adventures of ""Danny the detective,"""
"","Khansari, Ahmad [And] Bani Assadi Muhammad Ali","","Poetry for children. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=khndrsm_00220011&summary=true&route=text"" rel=""nofollow"">read a copy of 'Dar Asman-I Khanah'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","khndrsm","","Dar Asman-I Khanah"
"","Glascock, Mary W","1882-00-00T00:00:00Z","","","dare00glas","","Dare"
"srlf_ucla:LAGE-1066212","","1814-00-00T00:00:00Z","Tan paper over boards; paper printed label on spine","","dartmouthparsona00londiala","Conduct of life,Christian life","Dartmouth parsonage : a tale for youth"
"","","1854-00-00T00:00:00Z","","","UF00002296","Animals,Printed boards (Binding),Great Britain,Pictorial works,local,Hand-colored illustrations,Civilization,Picture books for children,Juvenile literature","Darton's Children's Pictures - To Amuse and Instruct"
"","Hancock, H. Irving (Harrie Irving), 1868-1922","","","","davedarrinonmedi00hanc","American fiction","Dave Darrin on Mediterranean service : or, With Dan Dalzell on European duty"
"srlf_ucla:LAGE-1067904","","","Publisher's lilac printed wrappers; series list on lower wrapper","","davidallenvillag00londiala","Boys -- Conduct of life,Work ethic","David Allen : a village tale"
"","Lamprey, Louise, 1869-1951","","","","daysofcolonists00lamp","United States -- History Colonial period, ca. 1600-1775 Fiction","Days of the colonists"
"srlf_ucla:LAGE-3011267","Sandham, Elizabeth","1818-00-00T00:00:00Z","Quarter green sheep and marbled paper over boards","","deafdumb00sandiala","Deaf children,Deaf -- Education","Deaf and dumb"
"srlf_ucla:LAGE-1074286","","","Gumuchian","","deborahdentandhe00londiala","Donkeys,Children's poetry","Deborah Dent and her donkey. And Madam Fig's gala : two humorous tales"
"srlf_ucla:LAGE-1074287","","","Publisher's tan printed stiff wrappers; publisher's advertisements on yellow inner wrappers","","deborahdentherdo00londiala","Donkeys,Children's poetry, English","Deborah Dent and her donkey. And Madam Fig's gala : two humorous tales : embellished with eighteen beautifully-coloured engravings"
"","(Barbara)","1851-00-00T00:00:00Z","","","UF00001904","Virtue,Juvenile fiction,Hand-colored illustrations,Embossed cloth bindings (Binding),local","Decision :"
"","Ballantyne, Robert Michael","1883-00-00T00:00:00Z","Engraved title-page also","","deepdowntaleofco00ball","Children's stories, English","Deep down; a tale of the Cornish mines"
"","Ellis, Edward Sylvester, 1840-1916","1905-00-00T00:00:00Z","","","deerfootinmounta00elli","","Deerfoot in the mountains"
"","Griswold, Latta, 1876-1931","1914-00-00T00:00:00Z","","","deeringatprincet00gris","","Deering at Princeton; a story of college life"
"","W.W.Denslow","","","","denhump","","Denslow's Humpty Dumpty"
"","Skopin, V.","2003-00-00T00:00:00Z","","","9780657132460","","Der ersher iberfli fun a leyn feygele"
"","Mani Leib","2001-00-00T00:00:00Z","","","9780657122546","","Der fremder :"
"","(Dmitri Narkisovich)","2001-00-00T00:00:00Z","","","9780657116514","","Der heldisher hoz"
"613261","","","NY3","","derherrdesriesen00leip","Fairy tales, German","der Herr des Riesengebirges"
"","Nieshaye, A.","","","","9780657131777","Haver","Der hurbm fun Pompeye"
"","","1999-00-00T00:00:00Z","","","9780657047771","","Der inder-delamaor :"
"","Tsipor, I. B.","2003-00-00T00:00:00Z","","","9780657129606","","Der ligner :"
"","Ravin, Iosif","2003-00-00T00:00:00Z","","","9780657133627","Mayelekh fun der gantser el","Der luger fus"
"","Twain, Mark","2003-00-00T00:00:00Z","","","9780657129699","","Der prints un der beler :"
"","Ewald, Carl","2001-00-00T00:00:00Z","","","9780657133351","","Der regnorim un der bashan :"
"","Johann David Wyss","1821-00-00T00:00:00Z","A Swiss pastor, his wife, and four sons are the only ones left on the ship after a storm has crashed against a rock, and they manage to reach land. They make themselves at home on a beautiful island. Together they easily overcome the daily challenges of their new life. The boys discover an amazing array of new plants and animals (who usually don't live together in the same region of the world), and have lots of discussions about Christian moral and virtue with their father. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=wysdrs1_00300007&summary=true&route=text"" rel=""nofollow"">read a copy of 'Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 1)'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","wysdrs1","","Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 1)"
"","Johann David Wyss","1821-00-00T00:00:00Z","The pastor's family continues to domesticate the island and tame it's animals with incredible resourcefulness and inexhaustible knowledge of how to use the island's resources to create their own civilization. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=wysdrs2_00300008&summary=true&route=text"" rel=""nofollow"">read a copy of 'Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 2)'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","wysdrs2","","Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 2)"
"","Johann David Wyss","1826-00-00T00:00:00Z","The family has been on the island for a whole year now but keeps up a very positive and optimistic attitude. You learn how they skillfully make use of the gifts of nature. The boys have some adventure with different types of frightening animals. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=wysdrs3_00300009&summary=true&route=text"" rel=""nofollow"">read a copy of 'Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 3)'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","wysdrs3","","Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 3)"
"","Johann David Wyss","1827-00-00T00:00:00Z","Ten years have passed since the family landed on the island and they have created their own ""New Switzerland"". <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=wysdrs4_00300010&summary=true&route=text"" rel=""nofollow"">read a copy of 'Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 4)'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","wysdrs4","","Der Schweizersche Robinson Oder Der Schiffbruchige (Vol. 4)"
"","Seton, Ernest Thompson","2003-00-00T00:00:00Z","","","9780657131623","","Der shartser musang"
"","Busch, Wilhelm","2001-00-00T00:00:00Z","","","9780657129750","","Der shifer Moyshl"
"","Horowitz, Isac.","2001-00-00T00:00:00Z","","","9780657133771","Arbeyer ring inder biblioe","Der shney-mensh"
"","Loti, Pierre","2001-00-00T00:00:00Z","","","9780657111687","","Der tsar fun an aln aorzshni"
"","Sholem Aleichem","","","","9780657128425","","Dertseylungen un stsenes :"
"srlf_ucla:LAGE-1226091","","1831-00-00T00:00:00Z","Publisher's buff printed wrappers; publisher's advertisement on lower wrapper","","descriptivescene00bostiala","Children -- Conduct of life,Picture books for children","Descriptive scenes for children"
"731664","Schalk, Gustav, 1848-1929","","NY3","","deutscheheldensa00scha","Legends, Germanic","Deutsche Heldensage :"
"615861","1735-1787","","Inhalt.--Roland's Knappe","","deutschevol001735","Folklore -- Germany","Deutsche Vol"
"","Johnson, Jane, compiler","","","","devotionalpoetry00john","Children's poetry, Religious","Devotional poetry for the children .."
"","Ewald, Carl","1999-00-00T00:00:00Z","","","9780657035792","","Di binen-malke :"
"","","1999-00-00T00:00:00Z","","","9780657066963","","Di gildene pae :"
"","Simon, Solomon","2000-00-00T00:00:00Z","","","9780657108724","","Di heldn fun Khelm"
"","Fenser, B.","2001-00-00T00:00:00Z","","","9780657133429","","Di mayse fun Purim :"
"","(Mikhail)","","","","9780657130503","","Di zun afn ish :"
"srlf_ucla:LAGE-3044034","Semple, Elizabeth, fl. 1804-1816,Sandham, Elizabeth","1813-00-00T00:00:00Z","Moon, M. Harris(1992), 741(1)","","dialoguesconsis00sempiala","","Dialogues consisting of words of one syllable only; intended as a proper book to follow The imperial primer, and other approved incitements to learning"
"srlf_ucla:LAGE-1230627","","1809-00-00T00:00:00Z","Publisher's tan printed wrappers","","dialoguesforamus00londiala","Young women -- Conduct of life,Christian life,Seven Wonders of the World","Dialogues for the amusement and instruction of youth : adorned with beautiful cuts"
"srlf_ucla:LAGE-1230766","Perrault, Charles, 1628-1703","","Publisher's rust wrappers; woodcut ill. on upper and lower wrappers","","diamondstoadsorh00perriala","Conduct of life,Pride and vanity,Fairies","Diamonds and toads, or, Humility rewarded and pride punished : adorned with cuts"
"","Goodrich, Samuel G. (Samuel Griswold), 1793-1860","1845-00-00T00:00:00Z","","","dickboldheroorta00good","Children's stories, American","Dick Boldhero : or, A tale of adventures in South America"
"","Kingston, William Henry Giles, 1814-1880","1881-00-00T00:00:00Z","","","dickcheveleyhisa00king","Children's stories, English","Dick Cheveley : his adventures and misadventures"
"","Garis, Howard Roger, 1873-1962,Grosset & Dunlap","1910-00-00T00:00:00Z","","","dickhamiltonscad00gari","Children's literature","Dick Hamilton's cadet days : or, The handicap of a millionaire's son"
"","Garis, Howard Roger, 1873-1962","","","","dickhamiltonsfor00gari","","Dick Hamilton's fortune; or, The stirring doings of a millionaire's son"
"","Garis, Howard Roger, 1873-1962","","","","dickhamiltonsste00gari","Adventure stories,Sea stories","Dick Hamilton's steam yacht, or, A young millionaire and the kidnappers"
"","Dimock, A. W.","","","","UF00000610","","Dick in the Everglades"
"","Hancock, H. Irving (Harrie Irving), 1868-1922","","","","dickprescottssec00hanc","","Dick Prescott's second year at West Point; or, Findng the glory of the soldier's life"
"615850","1735-1787,Fraungruber, Hans, 1863-1933","","NY3","","dienymphedesbrun001735","","Die Nymphe des Brunnes"
"","Safa Ameer","1999-00-00T00:00:00Z","Dima is a bright and colorful picture book for children. It is a story of a young boy whose imagination takes him to the clouds, which he calls Dima, which is the Arabic word for clouds. In the sky, the boy attends a party with the moon. By the end of the book the boy understands when the moon is full and when it is a half moon. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=amrdima_00310002&summary=true&route=text"" rel=""nofollow"">read a copy of 'Dima'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","amrdima","","Dima"
"","","1999-00-00T00:00:00Z","","","9780657045968","Yidishe shul-biblioe. Serye 4","Dimentn far ale :"
"srlf_ucla:LAGE-1237296","Religious Tract Society (Great Britain)","","Text printed on yellow paper","","disobedience00reliiala","Children -- Conduct of life,Obedience -- Religious aspects Christianity,Sin","Disobedience"
"srlf_ucla:LAGE-1237301","","","The proud girl -- The meek girl -- The neat little girl -- The disorderly girl -- The inattentive scholars","","disorderlygirl00newyiala","Children -- Conduct of life,Children's poetry","Disorderly girl"
"","Watts, Isaac","1857-00-00T00:00:00Z","","","UF00003216","Juvenile poetry,Christian life,Embossed cloth bindings (Binding),lcsh,Children's poetry,Children's songs","Divine and moral songs for children"
"","Montes, Graciela","","","","mntdona","","Dna Clementina Queridita, la Achicadora"
"srlf_ucla:LAGE-1239541","","","Publisher's quarter red cloth and tan printed paper over boards; illustration on upper board; publisher's advertisement on lower board","","doctorbolushispa00troyiala","Conduct of life,Physicians","Doctor Bolus and his patients"
"srlf_ucla:LAGE-1239542","","","Quarter blue cloth and illustrated paper over boards","","doctordick00londiala","Children's stories,Boys -- Conduct of life","Doctor Dick"
"","Kay, Ross","","","","dodgingnorthseam00kayr","World War, 1914-1918,Children's stories, American","Dodging the North sea mines : the adventures of an American boy"
"srlf_ucla:LAGE-1240766","","","Publisher's yellow printed wrappers, illustrated in colors. Publisher's advertisement on lower wrapper","","dogofstbernardot00newyiala","Rescue dogs,Saint Bernard dog,Lifesaving","Dog of St. Bernard and other stories : printed in oil colors"
"","Mr. Shawky Hegab","2002-00-00T00:00:00Z","Dokdok is a scare crow who can talk and move. His friends are Nouras the Sea Gull, Gharab the Crow, and Abou Fasada the Bird. One day Dokdok wakes up in pain and he finds out that Dada the mouse is biting his feet in her attempt to steal his shoes. She succeeds in stealing the shoes and takes them home to sell so that she can buy shoes for herself. Dokdok calls on the cat for help. The cat cuts the mouse's tail off and in return for the tail the mouse must find many things for all the friends. He soon learns it was all a trick to give back Dokdok's shoes. The mouse finally gets its tail back but doesn't know how to put it back on so the friends send her to the spider to teach it to sew and knit so that she can be useful rather than have to steal from others. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=hgbdada_00110006&summarymary=true&route=text"" rel=""nofollow"">read a copy of 'Dokdok And Dada The Biter'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","hgbdada","","Dokdok And Dada The Biter"
"","Mr. Shawky Hegab","2002-00-00T00:00:00Z","Dokdok is a scare crow who can talk and move. His friends are Nouras the Sea Gull, Gharab the Crow, and Abou Fasada the Bird. This story is about the importance of knowledge and learning. Dokdok is alone in the field and makes sounds that echo. We learn that the moon comes out at night, followed by the sun in the morning which moves in the sky. They take a look at the city, the zoo, and the field. Dokdok hears a loud voice saying Vou Vou Va and the sound scares him. Each of his friends keep on guessing what this sound is and they are all frightened except for the Sun and the Moon. The friends keep saying it is a ghost and are so frightened until a farmer explains it to them. It is the sound of the wind over the well. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=hgbvouv_00110009&summary=true&route=text"" rel=""nofollow"">read a copy of 'Dokdok And Vou Vou Va'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","hgbvouv","","Dokdok And Vou Vou Va"
"","Mr. Shawky Hegab","2002-00-00T00:00:00Z","Dokdok is a scare crow who can talk and move. His friends are Nouras the Sea Gull, Gharab the Crow, and Abou Fasada the Bird. In this story, Dokdok and his friends are in the field, they see a mouse running away with a piece of cheese, so Dokdok remembers seeing a mouse running away from a cat, so they imitate the cats voice to make the mouse afraid. Then they chase away the cat that stole the fisherman's fish by barking like a dog, and do the same with a number of different animals. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=hgblghs_00110007&summary=true&route=text"" rel=""nofollow"">read a copy of 'Dokdok Laughs Ha Ha Ha!'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","hgblghs","","Dokdok Laughs Ha Ha Ha!"
"","Mr. Shawky Hegab","2002-00-00T00:00:00Z","Dokdok is a scare crow who can talk and move. His friends are Nouras the Sea Gull, Gharab the Crow, and Abou Fasada the Bird. In this story we are introduced to the scarecrow standing all alone in the middle of the field. He cries for someone to come and talk to him but the wind just keeps repeating his words. When he says listen to my heart beating dok dok dok, he hears the wind repeat the same sound. This is how he got his name. The Sea Gull is the first to befriend Dokdok and finds that he is not scary at all. We are introduced to his friends one after the other. This is the beginning of a series of stories about adventures that the friends encounter together. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=hgblnly_00110008&summary=true&route=text"" rel=""nofollow"">read a copy of 'Dokdok Lonely'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","hgblnly","","Dokdok Lonely"
"srlf_ucla:LAGE-1241566","","","Dolly's doings -- A sad accident -- Playtime -- A little tale","","dollysdoings00londiala","Children's poetry, English","Dolly's doings"
"srlf_ucla:LAGE-1241856","","1848-00-00T00:00:00Z","Publisher's buff printed wrappers; woodcuts on upper and lower wrappers","","domesticanimalss00pittiala","Domestic animals","Domestic animals : a story book for children"
"","Dodge, Mary Mapes, 1830-1905","","","","donalddorothy00dodg2","","Donald and Dorothy"
"","Bertie Lee, Author of","1867-00-00T00:00:00Z","","","donaldfraser00bert","","Donald Fraser"
"","Dowd, Emma C., d. 1938","1915-00-00T00:00:00Z","","","doodlessunshineb00dowd","Children's stories, American","Doodles : the sunshine boy"
"srlf_ucla:LAGE-1015509","Coates, W. H., Mrs,Religious Tract Society (Great Britain)","","Green sand-grain cloth over boards, blocked in black, gold, and blind","","dorahamiltonorsu00coatiala","Christian life","Dora Hamilton, or, Sunshine and shadow"
"168877","Baum, L. Frank (Lyman Frank), 1856-1919,Neill, John R. (John Rea), ill","","The story of Dorothy and the wizard in an underground world, and how with some help from friends they manage to reach the Land of Oz","","dorothywizardino00baum2","Fairy tales,Fantasy","Dorothy and the wizard in Oz"
"168881","Baum, L. Frank (Lyman Frank), 1856-1919,Neill, John R. (John Rea), ill","","","","dorothywizardino00baum","Fairy tales","Dorothy and the wizard in Oz; a faithful record of their amazing adventures in an underground world, and how with the aid of their friends Zeb Hugson, Eureka the Kitten, and Jim the Cab-Horse, they finally reached the wonderful Land of Oz"
"srlf_ucla:LAGE-1884601","Kirk, Ellen Olney, 1842-1928","1898-00-00T00:00:00Z","Red calico cloth over boards, blocked in blind and stamped in gold","","dorothydeanechil00kirkiala","Girls -- Conduct of life,Stuttering","Dorothy Deane : a children's story"
"","Mendele Mokher Sefarim","2001-00-00T00:00:00Z","","","9780657130879","Shul biblioe : Originele er","Dos elbl"
"","Shapiro, Solomon","1999-00-00T00:00:00Z","","","9780657045333","","Dos ershe leyenbikhl far shul un haym"
"","Lia, M.","2001-00-00T00:00:00Z","","","9780657110499","","Dos farblondzshee meydele :"
"","Der Tunkeler","2001-00-00T00:00:00Z","","","9780657130398","","Dos ferd un di malpes"
"","(Dmitri Narkisovich)","2001-00-00T00:00:00Z","","","9780657118945","Shul biblioe","Dos iner hayzl oyf der Sudyonaya"
"","Bianki, Vitali","2000-00-00T00:00:00Z","","","9780657110529","Shiler biblioe","Dos mayzele pi :"
"","Sholem Aleichem","2000-00-00T00:00:00Z","","","9780657104467","inderring-biblioe.","Dos meserl"
"","Reisfeder, Jacob","2001-00-00T00:00:00Z","","","9780657133641","","Dos yungele mi zayn samoarl"
"srlf_ucla:LAGE-2294519","May, Sophie, 1833-1906,Andrew, John, 1815-1875,Kilburn, Samuel Smith,Harley, John J,Sayer, Reimunt","","Publisher's crimson sand-grain cloth over boards, blocked in gold and blind","","dottiedimpleatsc00maysiala","Children -- Conduct of life,Friendship in children,Students -- Conduct of life","Dottie Dimple at school"
"srlf_ucla:LAGE-2170893","May, Sophie, 1833-1906,Brown, Nathan, fl. 1847-1853","1865-00-00T00:00:00Z","Publisher's burgundy sand-grain cloth over boards, blocked in gold and blind","","dottydimple00maysiala","Children -- Conduct of life,Sisters","Dotty Dimple"
"srlf_ucla:LAGE-2294520","May, Sophie, 1833-1906,Brown, Nathan, fl. 1847-1853,Nast, Thomas, 1840-1902","","Publisher's dark teal diagonal ribbed cloth over boards, blocked in black, gold and blind","","dottydimplemayso00maysiala","Children -- Conduct of life,Sisters","Dotty Dimple"
"srlf_ucla:LAGE-2294521","May, Sophie, 1833-1906,Kilburn, Samuel Smith,Sayer, Reimunt,Waud, William, d. 1878","","Hamilton, S. Amer. book illustrators (1968 ed.)","","dottydimpleather00maysiala","Children -- Conduct of life","Dotty Dimple at her grandmother's"
"srlf_ucla:LAGE-2294522","May, Sophie, 1833-1906,Kilburn, Samuel Smith,Nast, Thomas, 1840-1902","","Publisher's crimson sand-grain cloth over boards, blocked in gold and blind","","dottydimpleathom00maysiala","Children -- Conduct of life","Dotty Dimple at home"
"srlf_ucla:LAGE-2294524","May, Sophie, 1833-1906,Andrew, John, 1815-1875,Kilburn, Samuel Smith,Sayer, Reimunt","","Publisher's crimson sand-grain cloth over boards, blocked in gold and blind","","dottydimpleatpla00maysiala","Children -- Conduct of life,Blind children -- United States","Dotty Dimple at play"
"srlf_ucla:LAGE-2294523","May, Sophie, 1833-1906,Andrew, John, 1815-1875,Kilburn, Samuel Smith,Sayer, Reimunt","","Publisher's crimson sand-grain cloth over boards, blocked in gold and blind","","dottydimpleatpl00maysiala","Children -- Conduct of life,Blind children -- United States","Dotty Dimple at play"
"srlf_ucla:LAGE-2294525","May, Sophie, 1833-1906,Andrew, John, 1815-1875,Kilburn, Samuel Smith,Nast, Thomas, 1840-1902,Sayer, Reimunt,Varley, Robert","","Publisher's crimson sand-grain cloth over boards, blocked in gold and blind","","dottydimpleoutw00maysiala","Children -- Conduct of life,Railroad travel -- United States,Indiana -- Description and travel Juvenile fiction","Dotty Dimple out West"
"srlf_ucla:LAGE-2294526","May, Sophie, 1833-1906,Kilburn, Samuel Smith,Nast, Thomas, 1840-1902,Sayer, Reimunt,Varley, Robert","","Hamilton, S. Amer. book illustrators (1968 ed.)","","dottydimpleoutwe00maysiala","Children -- Conduct of life,Railroad travel -- United States,Indiana -- Description and travel Juvenile fiction","Dotty Dimple out West"
"","Gross, Mark S. (Mark Stanislaus), 1889-","1919-00-00T00:00:00Z","","","doubleeagles00gros","","Double-eagles"
"29955","","1868-00-00T00:00:00Z","Les lapins.-","","douzehistoirespo00pari","","Douze histoires pour les enfants de"
"","Otis, James, 1848-1912","","","","downslope00otis","","Down the slope"
"srlf_ucla:LAGE-2752480","Pinchard, Elizabeth Sibthorpe","1807-00-00T00:00:00Z","Moon, M. Harris (1992)","","dramasforchildre00pinciala","Children's plays","Dramas for children ..."
"srlf_ucla:LAGE-2752481","Pinchard, Elizabeth Sibthorpe","1792-00-00T00:00:00Z","Osborne Coll.","","dramaticdialogue01pinciala","Conduct of life","Dramatic dialogues for the use of young persons"
"srlf_ucla:LAGE-2752481","Pinchard, Elizabeth Sibthorpe","1792-00-00T00:00:00Z","Osborne Coll.","","dramaticdialogue02pinciala","Conduct of life","Dramatic dialogues for the use of young persons"
"363741","Furniss, Dorothy","","NY3","","drawingforbeginn00furn","Drawing -- Study and teaching","Drawing for beginners"
"","Foster, Mattie K","1918-00-00T00:00:00Z","","","dreamlifeforchil00fost","","Dream life for children"
"","P M Ho","1992-00-00T00:00:00Z","In my dream, I received a Christmas card. A Christmas tree was being hurt! Go to have a look. My beloved Christmas tree was growing in my heart. There were birds flying around and I could enjoy the cool air under the tree. My loved tree provided fruits for bunny and me. It was green and pure. There was no need to decorate it. Little Christmas tree, I hope you grow everyday with me. Goodnight my Christmas tree. Ha Ha! I dreamt of you again!! <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","homdrip","","Dripping Green"
"","Catlow, Agnes","1851-00-00T00:00:00Z","","","UF00001809","Microbiology,Binders' tickets (Binding),Westleys & Co,Microorganisms,Publishers' catalogues,Microscopes,Hand-colored illustrations,local,Embossed cloth bindings (Binding),Water","Drops of water"
"srlf_ucla:LAGE-2251784","Lund, John, 18th/19th cent,Booth, Joshua, attrib. auth","1827-00-00T00:00:00Z","Osborne Coll.","","ducksgreenpeasor00lundiala","Children's plays","Ducks and green peas or, The Newcastle rider : A farce of one act, Founded on fact : To which is added, The Newcastle rider, a tale in rhyme"
"srlf_ucla:lage-511415","Appleton, Honor C","1903-00-00T00:00:00Z","Pale green striped cloth over boards","","dumpyproverbs00appliala","","Dumpy proverbs"
"807032","Terhune, Anice Morris Stockton","","","","dutchdittiesforc00terh","Children's songs","Dutch ditties for children ; fifteen songs with piano accompaniment"
"","William Elliot Griffis","1918-00-00T00:00:00Z","A collection of over twenty Dutch fairy tales including: The Entangled Mermaid, The Princess with Twenty Petticoats, and Why the Stork Loves Holland. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=gridutc_00150013&summary=true&route=text"" rel=""nofollow"">read a copy of 'Dutch Fairy Tales For Young Folks'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","gridutc","","Dutch Fairy Tales For Young Folks"
